Time [s],Channel 0,Channel 1
2.972056000,1,1
2.972056500,0,0
2.972056750,0,1
2.972057000,1,1
2.972057500,0,0
2.972058000,1,0
2.972058500,0,0
2.972059000,1,0
2.972059500,0,1
2.972060000,1,1
2.972060500,0,1
2.972061000,1,1
2.972061500,0,1
2.972062000,1,1
2.972062500,0,0
2.972063000,1,0
2.972063500,0,0
2.972064000,1,0
2.972064500,0,0
2.972065000,1,0
2.972065500,0,1
2.972066000,1,1
2.972066250,0,0
2.972066500,0,1
2.972066750,1,1
2.972067250,0,0
2.972067750,1,0
2.972068250,0,0
2.972068750,1,0
2.972069250,0,1
2.972069750,1,1
2.972070250,0,1
2.972070750,1,1
2.972071250,0,0
2.972071750,1,0
2.972072250,0,0
2.972072750,1,0
2.972073250,0,1
2.972073750,1,1
2.972074250,0,1
2.972074750,1,1
2.972075250,0,0
2.972075750,1,0
2.972076250,0,0
2.972076500,1,0
2.972077000,0,0
2.972077250,0,1
2.972077500,1,1
2.972078000,0,1
2.972078500,1,1
2.972079000,0,1
2.972079500,1,1
2.972080000,0,0
2.972080500,1,0
2.972081000,0,0
2.972081500,1,0
2.972082000,0,0
2.972082500,1,0
2.972083000,0,1
2.972083500,1,1
2.972084000,0,0
2.972084500,1,0
2.972085000,0,1
2.972085500,1,1
2.972086000,0,1
2.972086250,1,1
2.972086750,0,0
2.972087250,1,0
2.972087750,0,0
2.972088250,1,0
2.972088750,0,1
2.972089250,1,1
2.972089750,0,1
2.972090250,1,1
2.972090750,0,0
2.972091250,1,0
2.972091750,0,1
2.972092250,1,1
2.972092750,0,0
2.972093250,1,0
2.972093750,0,1
2.972094250,1,1
2.972094750,0,0
2.972095250,1,0
2.972095750,0,0
2.972096250,1,0
2.972096750,0,1
2.972097000,1,1
2.972097500,0,0
2.972097750,0,1
2.972098000,1,1
2.972098500,0,0
2.972099000,1,0
2.972099500,0,0
2.972100000,1,0
2.972100500,0,1
2.972101000,1,1
2.972101500,0,1
2.972102000,1,1
2.972102500,0,0
2.972103000,1,0
2.972103500,0,0
2.972104000,1,0
2.972104500,0,1
2.972105000,1,1
2.972105500,0,1
2.972106000,1,1
2.972106500,0,0
2.972106750,1,0
2.972107250,0,0
2.972107750,1,0
2.972108250,0,0
2.972108500,0,1
2.972108750,1,1
2.972109250,0,1
2.972109750,1,1
2.972110250,0,0
2.972110750,1,0
2.972111250,0,0
2.972111750,1,0
2.972112250,0,1
2.972112750,1,1
2.972113250,0,1
2.972113750,1,1
2.972114250,0,0
2.972114750,1,0
2.972115250,0,0
2.972115750,1,0
2.972116250,0,1
2.972116750,1,1
2.972117000,0,0
2.972117250,0,1
2.972117500,1,1
2.972118000,0,0
2.972118500,1,0
2.972119000,0,0
2.972119500,1,0
2.972120000,0,1
2.972120500,1,1
2.972121000,0,1
2.972121500,1,1
2.972122000,0,0
2.972122500,1,0
2.972123000,0,0
2.972123500,1,0
2.972124000,0,1
2.972124500,1,1
2.972125000,0,0
2.972125500,1,0
2.972126000,0,1
2.972126500,1,1
2.972127000,0,0
2.972127250,1,0
2.972127750,0,0
2.972128000,0,1
2.972128250,1,1
2.972128750,0,0
2.972129000,0,1
2.972129250,1,1
2.972129750,0,0
2.972130250,1,0
2.972130750,0,0
2.972131250,1,0
2.972131750,0,1
2.972132250,1,1
2.972132750,0,1
2.972133250,1,1
2.972133750,0,0
2.972134250,1,0
2.972134750,0,1
2.972135250,1,1
2.972135750,0,0
2.972136250,1,0
2.972136750,0,0
2.972137250,1,0
2.972137500,0,0
2.972137750,0,1
2.972138000,1,1
2.972138500,0,0
2.972138750,0,1
2.972139000,1,1
2.972139500,0,0
2.972140000,1,0
2.972140500,0,0
2.972141000,1,0
2.972141500,0,1
2.972142000,1,1
2.972142500,0,0
2.972143000,1,0
2.972143500,0,1
2.972144000,1,1
2.972144500,0,0
2.972145000,1,0
2.972145500,0,1
2.972146000,1,1
2.972146500,0,0
2.972147000,1,0
2.972147500,0,1
2.972147750,1,1
2.972148250,0,0
2.972148500,0,1
2.972148750,1,1
2.972149250,0,0
2.972149750,1,0
2.972150250,0,0
2.972150750,1,0
2.972151250,0,1
2.972151750,1,1
2.972152250,0,0
2.972152750,1,0
2.972153250,0,1
2.972153750,1,1
2.972154250,0,1
2.972154750,1,1
2.972155250,0,0
2.972155750,1,0
2.972156250,0,0
2.972156750,1,0
2.972157250,0,1
2.972157750,1,1
2.972158000,0,0
2.972158500,1,0
2.972159000,0,0
2.972159250,0,1
2.972159500,1,1
2.972160000,0,1
2.972160500,1,1
2.972161000,0,0
